merchant_id,month,reported_revenue,paid_amount,submit_date,expected_status,expected_anomaly_type,scenario
BM003,2026-09,50000.00,10100.00,2026-10-08,normal,,fixed_overpaid_exact_1pct_normal
BM003,2026-10,50000.00,10101.00,2026-11-09,abnormal,金额不符,double_anomaly_fixed_overpaid_1_01pct
BM003,2026-11,50000.00,10000.00,2026-12-09,abnormal,逾期提交,submit_late_1d_amount_exact
BM003,2026-12,50000.00,9899.00,2027-01-08,abnormal,金额不符,amount_under_1_01pct_abnormal
BM004,2026-04,100000.00,10100.00,2026-05-08,normal,,amount_exact_1pct_normal
BM004,2026-05,100000.00,10099.00,2026-06-03,normal,,amount_0_99pct_normal
BM004,2026-06,100000.00,9899.00,2026-07-03,abnormal,金额不符,amount_1_01pct_abnormal
BM004,2026-07,0.00,0.00,2026-08-08,normal,,zero_revenue_zero_paid_commission
BM004,2026-08,0.00,0.02,2026-09-08,abnormal,金额不符,zero_revenue_commission_min_anomaly
BM004,2026-09,100000.00,10150.00,2026-10-09,abnormal,金额不符,double_anomaly_commission_overpaid_1_5pct
BM005,2026-01,100000.00,10100.00,2026-02-08,normal,,amount_exact_1pct
BM005,2026-02,100000.00,10099.00,2026-03-08,normal,,amount_0_99pct
BM005,2026-03,100000.00,10101.00,2026-04-08,abnormal,金额不符,amount_1_01pct
BM005,2026-04,100000.00,10000.00,2026-05-09,abnormal,逾期提交,double_anomaly_submit_late_amount_exact
BM005,2026-05,0.00,0.00,2026-06-08,normal,,zero_revenue_zero_paid_commission
BM005,2026-06,0.00,0.02,2026-07-08,abnormal,金额不符,zero_revenue_commission_min_anomaly
BM005,2026-07,100000.00,10050.00,2026-08-08,normal,,overpaid_within_1pct_normal
BM005,2026-08,100000.00,10200.00,2026-09-08,abnormal,金额不符,overpaid_over_1pct
BM006,2026-01,100000.00,11615.00,2026-02-08,normal,,amount_exact_1pct
BM006,2026-02,100000.00,11613.85,2026-03-08,normal,,amount_0_99pct
BM006,2026-03,100000.00,11616.15,2026-04-08,abnormal,金额不符,amount_1_01pct
BM006,2026-04,100000.00,11500.00,2026-05-09,abnormal,逾期提交,double_anomaly_submit_late_amount_exact
BM006,2026-05,0.00,0.00,2026-06-08,normal,,zero_revenue_zero_paid_commission
BM006,2026-06,0.00,0.02,2026-07-08,abnormal,金额不符,zero_revenue_commission_min_anomaly
BM006,2026-07,100000.00,11557.50,2026-08-08,normal,,overpaid_within_1pct_normal
BM006,2026-08,100000.00,11730.00,2026-09-08,abnormal,金额不符,overpaid_over_1pct
BM007,2026-01,100000.00,12625.00,2026-02-08,normal,,amount_exact_1pct
BM007,2026-02,100000.00,12623.75,2026-03-08,normal,,amount_0_99pct
BM007,2026-03,100000.00,12626.25,2026-04-08,abnormal,金额不符,amount_1_01pct
BM007,2026-04,100000.00,12500.00,2026-05-09,abnormal,逾期提交,double_anomaly_submit_late_amount_exact
BM007,2026-05,0.00,0.00,2026-06-08,normal,,zero_revenue_zero_paid_commission
BM007,2026-06,0.00,0.02,2026-07-08,abnormal,金额不符,zero_revenue_commission_min_anomaly
BM007,2026-07,100000.00,12562.50,2026-08-08,normal,,overpaid_within_1pct_normal
BM007,2026-08,100000.00,12750.00,2026-09-08,abnormal,金额不符,overpaid_over_1pct
BM008,2026-01,100000.00,13635.00,2026-02-08,normal,,amount_exact_1pct
BM008,2026-02,100000.00,13633.65,2026-03-08,normal,,amount_0_99pct
BM008,2026-03,100000.00,13636.35,2026-04-08,abnormal,金额不符,amount_1_01pct
BM008,2026-04,100000.00,13500.00,2026-05-09,abnormal,逾期提交,double_anomaly_submit_late_amount_exact
BM008,2026-05,0.00,0.00,2026-06-08,normal,,zero_revenue_zero_paid_commission
BM008,2026-06,0.00,0.02,2026-07-08,abnormal,金额不符,zero_revenue_commission_min_anomaly
BM008,2026-07,100000.00,13567.50,2026-08-08,normal,,overpaid_within_1pct_normal
BM008,2026-08,100000.00,13770.00,2026-09-08,abnormal,金额不符,overpaid_over_1pct
BM009,2026-01,100000.00,14645.00,2026-02-08,normal,,amount_exact_1pct
BM009,2026-02,100000.00,14643.55,2026-03-08,normal,,amount_0_99pct
BM009,2026-03,100000.00,14646.45,2026-04-08,abnormal,金额不符,amount_1_01pct
BM009,2026-04,100000.00,14500.00,2026-05-09,abnormal,逾期提交,double_anomaly_submit_late_amount_exact
BM009,2026-05,0.00,0.00,2026-06-08,normal,,zero_revenue_zero_paid_commission
BM009,2026-06,0.00,0.02,2026-07-08,abnormal,金额不符,zero_revenue_commission_min_anomaly
BM009,2026-07,100000.00,14572.50,2026-08-08,normal,,overpaid_within_1pct_normal
BM009,2026-08,100000.00,14790.00,2026-09-08,abnormal,金额不符,overpaid_over_1pct
BM010,2026-01,100000.00,15655.00,2026-02-08,normal,,amount_exact_1pct
BM010,2026-02,100000.00,15653.45,2026-03-08,normal,,amount_0_99pct
BM010,2026-03,100000.00,15656.55,2026-04-08,abnormal,金额不符,amount_1_01pct
BM010,2026-04,100000.00,15500.00,2026-05-09,abnormal,逾期提交,double_anomaly_submit_late_amount_exact
BM010,2026-05,0.00,0.00,2026-06-08,normal,,zero_revenue_zero_paid_commission
BM010,2026-06,0.00,0.02,2026-07-08,abnormal,金额不符,zero_revenue_commission_min_anomaly
BM010,2026-07,100000.00,15577.50,2026-08-08,normal,,overpaid_within_1pct_normal
BM010,2026-08,100000.00,15810.00,2026-09-08,abnormal,金额不符,overpaid_over_1pct
BM011,2026-01,100000.00,16160.00,2026-02-08,normal,,amount_exact_1pct
BM011,2026-02,100000.00,16158.40,2026-03-08,normal,,amount_0_99pct
BM011,2026-03,100000.00,16161.60,2026-04-08,abnormal,金额不符,amount_1_01pct
BM011,2026-04,100000.00,16000.00,2026-05-09,abnormal,逾期提交,double_anomaly_submit_late_amount_exact
BM011,2026-05,0.00,0.00,2026-06-08,normal,,zero_revenue_zero_paid_commission
BM011,2026-06,0.00,0.02,2026-07-08,abnormal,金额不符,zero_revenue_commission_min_anomaly
BM011,2026-07,100000.00,16080.00,2026-08-08,normal,,overpaid_within_1pct_normal
BM011,2026-08,100000.00,16320.00,2026-09-08,abnormal,金额不符,overpaid_over_1pct
BM012,2026-01,60000.00,6000.00,2026-02-08,normal,,hybrid_breakeven_exact
BM012,2026-02,60001.00,6000.10,2026-03-08,normal,,hybrid_just_above_breakeven
BM012,2026-03,70000.00,7069.30,2026-04-08,normal,,amount_0_99pct_normal_commission_zone
BM012,2026-04,70000.00,7070.70,2026-05-08,abnormal,金额不符,amount_1_01pct_abnormal_commission_zone
BM012,2026-05,0.00,0.00,2026-06-08,abnormal,金额不符,zero_revenue_zero_paid_hybrid
BM012,2026-06,0.00,6000.00,2026-07-08,normal,,zero_revenue_paid_guarantee_normal
BM012,2026-07,70000.00,7140.00,2026-08-09,abnormal,金额不符,double_anomaly_overpaid_submit_late
BM013,2026-01,66666.67,7000.00,2026-02-08,normal,,hybrid_breakeven_exact
BM013,2026-02,66667.67,7000.11,2026-03-08,normal,,hybrid_just_above_breakeven
BM013,2026-03,76666.67,8129.70,2026-04-08,normal,,amount_0_99pct_normal_commission_zone
BM013,2026-04,76666.67,8131.31,2026-05-08,abnormal,金额不符,amount_1_01pct_abnormal_commission_zone
BM013,2026-05,0.00,0.00,2026-06-08,abnormal,金额不符,zero_revenue_zero_paid_hybrid
BM013,2026-06,0.00,7000.00,2026-07-08,normal,,zero_revenue_paid_guarantee_normal
BM013,2026-07,76666.67,8211.00,2026-08-09,abnormal,金额不符,double_anomaly_overpaid_submit_late
BM014,2026-01,66666.67,8000.00,2026-02-08,normal,,hybrid_breakeven_exact
BM014,2026-02,66667.67,8000.12,2026-03-08,normal,,hybrid_just_above_breakeven
BM014,2026-03,76666.67,9291.08,2026-04-08,normal,,amount_0_99pct_normal_commission_zone
BM014,2026-04,76666.67,9292.92,2026-05-08,abnormal,金额不符,amount_1_01pct_abnormal_commission_zone
BM014,2026-05,0.00,0.00,2026-06-08,abnormal,金额不符,zero_revenue_zero_paid_hybrid
BM014,2026-06,0.00,8000.00,2026-07-08,normal,,zero_revenue_paid_guarantee_normal
BM014,2026-07,76666.67,9384.00,2026-08-09,abnormal,金额不符,double_anomaly_overpaid_submit_late
BM015,2026-01,72000.00,9000.00,2026-02-08,normal,,hybrid_breakeven_exact
BM015,2026-02,72001.00,9000.13,2026-03-08,normal,,hybrid_just_above_breakeven
BM015,2026-03,82000.00,10351.48,2026-04-08,normal,,amount_0_99pct_normal_commission_zone
BM015,2026-04,82000.00,10353.53,2026-05-08,abnormal,金额不符,amount_1_01pct_abnormal_commission_zone
BM015,2026-05,0.00,0.00,2026-06-08,abnormal,金额不符,zero_revenue_zero_paid_hybrid
BM015,2026-06,0.00,9000.00,2026-07-08,normal,,zero_revenue_paid_guarantee_normal
BM015,2026-07,82000.00,10455.00,2026-08-09,abnormal,金额不符,double_anomaly_overpaid_submit_late
BM016,2026-01,76923.08,10000.00,2026-02-08,normal,,hybrid_breakeven_exact
BM016,2026-02,76924.08,10000.13,2026-03-08,normal,,hybrid_just_above_breakeven
BM016,2026-03,86923.08,11411.87,2026-04-08,normal,,amount_0_99pct_normal_commission_zone
BM016,2026-04,86923.08,11414.13,2026-05-08,abnormal,金额不符,amount_1_01pct_abnormal_commission_zone
BM016,2026-05,0.00,0.00,2026-06-08,abnormal,金额不符,zero_revenue_zero_paid_hybrid
BM016,2026-06,0.00,10000.00,2026-07-08,normal,,zero_revenue_paid_guarantee_normal
BM016,2026-07,86923.08,11526.00,2026-08-09,abnormal,金额不符,double_anomaly_overpaid_submit_late
BM017,2026-01,78571.43,11000.00,2026-02-08,normal,,hybrid_breakeven_exact
BM017,2026-02,78572.43,11000.14,2026-03-08,normal,,hybrid_just_above_breakeven
BM017,2026-03,88571.43,12522.76,2026-04-08,normal,,amount_0_99pct_normal_commission_zone
BM017,2026-04,88571.43,12525.24,2026-05-08,abnormal,金额不符,amount_1_01pct_abnormal_commission_zone
BM017,2026-05,0.00,0.00,2026-06-08,abnormal,金额不符,zero_revenue_zero_paid_hybrid
BM017,2026-06,0.00,11000.00,2026-07-08,normal,,zero_revenue_paid_guarantee_normal
BM017,2026-07,88571.43,12648.00,2026-08-09,abnormal,金额不符,double_anomaly_overpaid_submit_late
BM018,2026-01,80000.00,12000.00,2026-02-08,normal,,hybrid_breakeven_exact
BM018,2026-02,80001.00,12000.15,2026-03-08,normal,,hybrid_just_above_breakeven
BM018,2026-03,90000.00,13633.65,2026-04-08,normal,,amount_0_99pct_normal_commission_zone
BM018,2026-04,90000.00,13636.35,2026-05-08,abnormal,金额不符,amount_1_01pct_abnormal_commission_zone
BM018,2026-05,0.00,0.00,2026-06-08,abnormal,金额不符,zero_revenue_zero_paid_hybrid
BM018,2026-06,0.00,12000.00,2026-07-08,normal,,zero_revenue_paid_guarantee_normal
BM018,2026-07,90000.00,13770.00,2026-08-09,abnormal,金额不符,double_anomaly_overpaid_submit_late
BM019,2026-01,50000.00,8000.00,2026-02-08,normal,,fixed_submit_grace_end_normal
BM019,2026-02,50000.00,7999.99,2026-03-08,normal,,fixed_under_0_01_normal
BM019,2026-03,50000.00,8079.20,2026-04-08,normal,,fixed_overpaid_0_99pct_normal
BM019,2026-04,50000.00,8080.80,2026-05-08,abnormal,金额不符,fixed_overpaid_1_01pct_abnormal
BM019,2026-05,0.00,0.00,2026-06-08,abnormal,金额不符,zero_revenue_zero_paid_fixed_abnormal
BM019,2026-06,0.00,8000.00,2026-07-08,normal,,zero_revenue_fixed_amount_normal
BM019,2026-07,50000.00,8000.00,2026-08-09,abnormal,逾期提交,double_anomaly_fixed_amount_exact_submit_late
BM020,2026-01,50000.00,9000.00,2026-02-08,normal,,fixed_submit_grace_end_normal
BM020,2026-02,50000.00,8999.99,2026-03-08,normal,,fixed_under_0_01_normal
BM020,2026-03,50000.00,9089.10,2026-04-08,normal,,fixed_overpaid_0_99pct_normal
BM020,2026-04,50000.00,9090.90,2026-05-08,abnormal,金额不符,fixed_overpaid_1_01pct_abnormal
BM020,2026-05,0.00,0.00,2026-06-08,abnormal,金额不符,zero_revenue_zero_paid_fixed_abnormal
BM020,2026-06,0.00,9000.00,2026-07-08,normal,,zero_revenue_fixed_amount_normal
BM020,2026-07,50000.00,9000.00,2026-08-09,abnormal,逾期提交,double_anomaly_fixed_amount_exact_submit_late
BM021,2026-01,50000.00,10000.00,2026-02-08,normal,,fixed_submit_grace_end_normal
BM021,2026-02,50000.00,9999.99,2026-03-08,normal,,fixed_under_0_01_normal
BM021,2026-03,50000.00,10099.00,2026-04-08,normal,,fixed_overpaid_0_99pct_normal
BM021,2026-04,50000.00,10101.00,2026-05-08,abnormal,金额不符,fixed_overpaid_1_01pct_abnormal
BM021,2026-05,0.00,0.00,2026-06-08,abnormal,金额不符,zero_revenue_zero_paid_fixed_abnormal
BM021,2026-06,0.00,10000.00,2026-07-08,normal,,zero_revenue_fixed_amount_normal
BM021,2026-07,50000.00,10000.00,2026-08-09,abnormal,逾期提交,double_anomaly_fixed_amount_exact_submit_late
BM022,2026-01,50000.00,11000.00,2026-02-08,normal,,fixed_submit_grace_end_normal
BM022,2026-02,50000.00,10999.99,2026-03-08,normal,,fixed_under_0_01_normal
BM022,2026-03,50000.00,11108.90,2026-04-08,normal,,fixed_overpaid_0_99pct_normal
BM022,2026-04,50000.00,11111.10,2026-05-08,abnormal,金额不符,fixed_overpaid_1_01pct_abnormal
BM022,2026-05,0.00,0.00,2026-06-08,abnormal,金额不符,zero_revenue_zero_paid_fixed_abnormal
BM022,2026-06,0.00,11000.00,2026-07-08,normal,,zero_revenue_fixed_amount_normal
BM022,2026-07,50000.00,11000.00,2026-08-09,abnormal,逾期提交,double_anomaly_fixed_amount_exact_submit_late
BM023,2026-01,50000.00,12000.00,2026-02-08,normal,,fixed_submit_grace_end_normal
BM023,2026-02,50000.00,11999.99,2026-03-08,normal,,fixed_under_0_01_normal
BM023,2026-03,50000.00,12118.80,2026-04-08,normal,,fixed_overpaid_0_99pct_normal
BM023,2026-04,50000.00,12121.20,2026-05-08,abnormal,金额不符,fixed_overpaid_1_01pct_abnormal
BM023,2026-05,0.00,0.00,2026-06-08,abnormal,金额不符,zero_revenue_zero_paid_fixed_abnormal
BM023,2026-06,0.00,12000.00,2026-07-08,normal,,zero_revenue_fixed_amount_normal
BM023,2026-07,50000.00,12000.00,2026-08-09,abnormal,逾期提交,double_anomaly_fixed_amount_exact_submit_late
BM024,2026-01,50000.00,13500.00,2026-02-08,normal,,fixed_submit_grace_end_normal
BM024,2026-02,50000.00,13499.99,2026-03-08,normal,,fixed_under_0_01_normal
BM024,2026-03,50000.00,13633.65,2026-04-08,normal,,fixed_overpaid_0_99pct_normal
BM024,2026-04,50000.00,13636.35,2026-05-08,abnormal,金额不符,fixed_overpaid_1_01pct_abnormal
BM024,2026-05,0.00,0.00,2026-06-08,abnormal,金额不符,zero_revenue_zero_paid_fixed_abnormal
BM024,2026-06,0.00,13500.00,2026-07-08,normal,,zero_revenue_fixed_amount_normal
BM024,2026-07,50000.00,13500.00,2026-08-09,abnormal,逾期提交,double_anomaly_fixed_amount_exact_submit_late
BM025,2026-01,50000.00,15000.00,2026-02-08,normal,,fixed_submit_grace_end_normal
BM025,2026-02,50000.00,14999.99,2026-03-08,normal,,fixed_under_0_01_normal
BM025,2026-03,50000.00,15148.50,2026-04-08,normal,,fixed_overpaid_0_99pct_normal
BM025,2026-04,50000.00,15151.50,2026-05-08,abnormal,金额不符,fixed_overpaid_1_01pct_abnormal
BM025,2026-05,0.00,0.00,2026-06-08,abnormal,金额不符,zero_revenue_zero_paid_fixed_abnormal
BM025,2026-06,0.00,15000.00,2026-07-08,normal,,zero_revenue_fixed_amount_normal
BM025,2026-07,50000.00,15000.00,2026-08-09,abnormal,逾期提交,double_anomaly_fixed_amount_exact_submit_late
BM025,2026-08,50000.00,15000.00,2026-09-09,abnormal,逾期提交,submit_late_4d_fixed_amount_exact
